Car pool - car_pool Not In 2-98

Trip 2011
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        7028        7040         15
        7028        7042        226
        7028        7049        152
        7028        7050        200
        7028        7051         47
        7028        7247         28
        7028        7249         21
        7028        7257         22
        7028        7458         40
        7028        7572         60
        7029        7008         13
        7029        7010         27
        7029        7013         83
        7029        7016         18
        7029        7017         52
        7029        7020         62
        7029        7021         48
        7029        7024         10
        7029        7025         31
        7029        7026         21
        7029        7028         37
        7029        7031         41
        7029        7032         27
        7029        7038         26
        7029        7039         63
        7029        7040         13
        7029        7042        113
        7029        7049         54
        7029        7050        110
        7029        7051         13
        7029        7053         57
        7029        7055          9
        7029        7105         13
        7029        7106         13
        7029        7108         18
        7029        7110         18
        7029        7111         18
        7029        7246         12
        7029        7247         51
        7029        7248         13
        7029        7249         13
        7029        7255         13
        7029        7257         27
        7029        7261         50
        7029        7458         71
        7029        7464         10
        7029        7572         39
        7030        7005         16
        7030        7006         13
        7030        7009         13
        7030        7011         20
        7030        7013         30
        7030        7050         17
        7030        7051          9
        7030        7257         55
        7030        7266         10
        7031        7001         17
        7031        7002         21
        7031        7006         31
        7031        7008         24
        7031        7011         16
        7031        7012         16
        7031        7013         52
        7031        7021         18
        7031        7024         65
        7031        7025         76
        7031        7026         52
        7031        7027         22
        7031        7028         51
        7031        7029         52
        7031        7034         27
        7031        7036         13
        7031        7040         32
        7031        7045         13
        7031        7059         74
        7031        7099         18
        7031        7101         22
        7031        7106         16
        7031        7108         13
        7031        7115         27
        7031        7129         24
        7031        7141         20
        7031        7238         32
        7031        7244         15
        7031        7246         56
        7031        7248         21
        7031        7253         31
        7031        7254         53
        7031        7256         52
        7031        7257         18
        7031        7259         18
        7031        7260         20
        7031        7264         21
        7031        7266         21
        7031        7274         42
        7032        7002         61
        7032        7004         42
        7032        7008         18
        7032        7013         16
        7032        7017         18
        7032        7021         17
        7032        7025         52
        7032        7029         27
        7032        7035         45
        7032        7042         45
        7032        7051         27
        7032        7097         20
        7032        7108         13
        7032        7248         21
        7032        7254         15
        7032        7256         13
        7033        7002         32
        7033        7004         21
        7033        7006         42
        7033        7016         16
        7033        7017         24
        7033        7028         56
        7033        7035         13
        7033        7037         53
        7033        7039         26
        7033        7042         66
        7033        7049         32
        7033        7051         16
        7033        7053         18
        7033        7105         22
        7033        7116         18
        7033        7119         18
        7033        7121         29
        7033        7136         16
        7033        7246         41
        7033        7252         21
        7033        7253         21
        7033        7261         15
        7033        7265         15
        7034        7005         12
        7034        7007         35
        7034        7008         10
        7034        7013         21
        7034        7020         27
        7034        7021         27
        7034        7025         41
        7034        7028         15
